1-Name;2-Manufacturer;3-Camera Model;4-Year;5-Camera Type;6-F-number;7-ISO;8-Aperture;9-Exposure;10-MegaPixels;11-RAWsize;12-Focallength;13-Focallength Eq. 35Mm;14-cropFactor;15-Sensor size;16-Sensor Size (mm);17-pixel pitch (um);18-Pixel Density (MP/cm2);19-Sensor Model;20-Demosaicing algorithm;21-USM / DEN order;22-Sharpenning;23-Denoising;24-Resizing;25-ImageSize;26-JPEG Compression
01000.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/831;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;0;USM ON,1.78,313.00;DENOISE ON,7.00,39.00;RESIZE ON_WITH_CROP,LANCZOS,0.39642;720x720;94
01100.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;68;2;1/279;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;DCB2;0;USM OFF,0.00,0.00;DENOISE ON,98.00,0.00;RESIZE ON_WITH_CROP,BICUBIC,0.87008;640x1024;93
01200.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/940;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;0;USM ON,2.29,59.00;DENOISE ON,69.00,13.00;RESIZE CROP_ONLY,NONE,0.00000;512x512;80
01300.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/567;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;1;USM ON,1.54,51.00;DENOISE ON,2.00,36.00;RESIZE ON_WITH_CROP,BICUBIC,0.78764;720x640;75
01400.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;57;2;1/1756;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE ON,54.00,43.00;RESIZE CROP_ONLY,NONE,0.00000;1024x720;85
01500.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;1135;2;1/25;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;1;USM ON,1.33,11.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.86138;640x1024;80
01600.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;3498;2;1/14;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;Fast;1;USM ON,0.75,201.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,BICUBIC,0.23778;640x720;75
01700.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/789;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE ON,85.00,45.00;RESIZE ON_WITH_CROP,LANCZOS,0.73325;512x720;95
01800.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/1329;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,NEAREST,0.17822;512x720;80
01900.dng;HTC;One A9;2015;Smartphone/Tablet;2;89;2;1/237;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;IGV;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;1024x640;85
02000.dng;HTC;One A9;2015;Smartphone/Tablet;2;166;2;1/6;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;IGV;1;USM ON,1.47,166.00;DENOISE ON,90.00,49.00;RESIZE ON_WITH_CROP,BICUBIC,0.59292;640x1024;90
02100.dng;HTC;One A9;2015;Smartphone/Tablet;2;119;2;1/26;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;DCB2;1;USM ON,0.80,41.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.50873;1024x640;100
02200.dng;HTC;One A9;2015;Smartphone/Tablet;2;88;2;1/86;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.92117;720x720;85
02300.dng;HTC;One A9;2015;Smartphone/Tablet;2;91;2;1/64;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;AMaZE;1;USM ON,1.59,148.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,LANCZOS,0.24381;720x1024;80
02400.dng;HTC;One A9;2015;Smartphone/Tablet;2;211;2;1/5;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BILINEAR,0.31011;720x1024;96
02500.dng;HTC;One A9;2015;Smartphone/Tablet;2;95;2;1/29;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;IGV;1;USM ON,0.41,108.00;DENOISE ON,52.00,38.00;RESIZE ON_WITH_CROP,LANCZOS,1.19050;1024x512;98
02600.dng;HTC;One A9;2015;Smartphone/Tablet;2;94;2;1/44;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;DCB2;1;USM ON,2.21,144.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BICUBIC,0.62685;1024x512;97
02700.dng;HTC;One A9;2015;Smartphone/Tablet;2;95;2;1/194;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;AMaZE;1;USM ON,1.98,116.00;DENOISE ON,7.00,24.00;RESIZE CROP_ONLY,NONE,0.00000;720x640;90
02800.dng;HTC;One A9;2015;Smartphone/Tablet;2;94;2;1/46;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;IGV;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.60233;720x512;98
02900.dng;HTC;One A9;2015;Smartphone/Tablet;2;94;2;1/185;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;AMaZE;1;USM ON,2.47,185.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,1.01977;1024x512;100
03000.dng;HTC;One A9;2015;Smartphone/Tablet;2;89;2;1/72;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;Fast;1;USM ON,1.39,222.00;DENOISE ON,49.00,3.00;RESIZE ON_ALONE,BICUBIC,0.24381;720x1024;100
03100.dng;HTC;One A9;2015;Smartphone/Tablet;2;88;2;1/81;13.1;4208x3120;3.8;27;7.10526;1/3";6;1.1;82.6446;Sony Exmor IMX214RS;DCB2;1;USM ON,0.71,11.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.54723;512x640;100
03200.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;52;2.2;1/2736;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;Fast;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.78401;640x512;95
03300.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;50;2.2;1/430;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;DCB2;0;USM OFF,0.00,0.00;DENOISE ON,14.00,6.00;RESIZE ON_WITH_CROP,BICUBIC,0.55446;720x640;80
03400.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;50;2.2;1/883;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;Fast;1;USM ON,0.72,27.00;DENOISE ON,57.00,11.00;RESIZE CROP_ONLY,NONE,0.00000;720x720;75
03500.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;50;2.2;1/954;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;AMaZE;1;USM ON,0.44,271.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,LANCZOS,0.27350;1024x720;80
03600.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;50;2.2;1/415;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;DCB2;0;USM ON,0.50,269.00;DENOISE ON,49.00,41.00;RESIZE CROP_ONLY,NONE,0.00000;512x640;75
03700.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;371;2.2;1/14;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;DCB2;0;USM ON,0.78,213.00;DENOISE ON,16.00,43.00;RESIZE ON_ALONE,LANCZOS,0.27350;1024x720;86
03800.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;1544;2.2;1/6840;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;IGV;0;USM ON,0.51,88.00;DENOISE ON,0.00,38.00;RESIZE ON_ALONE,BILINEAR,0.27350;512x1024;96
03900.dng;HTC;One M9;2015;Smartphone/Tablet;2.2;50;2.2;1/530;20.2;5384x3752;4.7;26;5.53191;1/2.4";7.45;1.2;69.4444;Toshiba BSI T4KA7;AMaZE;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BICUBIC,0.36673;720x1024;96
04000.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;2636;2.2;1/4000;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE ON,18.00,4.00;RESIZE ON_WITH_CROP,NEAREST,1.14166;640x1024;85
04100.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;188;2.2;1/50;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;AMaZE;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BILINEAR,0.29343;512x512;89
04200.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;146;2.2;1/50;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;DCB2;1;USM ON,0.88,197.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,BILINEAR,0.25859;1024x720;100
04300.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;50;2.2;1/103;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;DCB2;0;USM ON,2.60,30.00;DENOISE ON,29.00,33.00;RESIZE ON_WITH_CROP,BILINEAR,0.77750;640x720;100
04400.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;50;2.2;1/704;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;1024x720;100
04500.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;63;2.2;1/100;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;DCB2;1;USM ON,1.51,210.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;640x720;95
04600.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;63;2.2;1/100;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE ON,79.00,29.00;RESIZE ON_ALONE,LANCZOS,0.34501;1024x512;98
04700.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;70;2.2;1/100;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;Fast;1;USM ON,1.25,319.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;512x512;80
04800.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;320;2.2;1/587;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;AMaZE;1;USM ON,1.82,257.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,LANCZOS,0.24259;640x720;100
04900.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;641;2.2;1/20;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;AMaZE;0;USM ON,0.61,127.00;DENOISE ON,38.00,59.00;RESIZE CROP_ONLY,NONE,0.00000;512x720;95
05000.dng;Huawei;Honor 8 (FRD-L09);2016;Smartphone/Tablet;2.2;595;2.2;1/20;11.8;3968x2976;4.5;28;6.22222;1/2.9";6.23;1.25;64;Sony IMX286 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE ON,56.00,57.00;RESIZE ON_WITH_CROP,LANCZOS,1.24780;512x640;80
05100.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;50;2.2;1/200;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;Fast;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.38437;1024x1024;89
05200.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;931;2.2;1/250;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;Fast;0;USM OFF,0.00,0.00;DENOISE ON,5.00,47.00;RESIZE ON_WITH_CROP,LANCZOS,1.07250;512x512;80
05300.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;3000;2.2;1/250;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;AMaZE;1;USM ON,1.40,210.00;DENOISE ON,86.00,53.00;RESIZE ON_ALONE,BILINEAR,0.29698;512x1024;98
05400.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;184;2.2;1/50;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.22902;640x720;90
05500.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;300;2.2;1/33;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE ON,48.00,40.00;RESIZE ON_WITH_CROP,LANCZOS,0.33794;720x512;90
05600.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;890;2.2;1/250;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;IGV;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BICUBIC,0.33506;640x512;85
05700.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;119;2.2;1/50;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.33998;512x512;75
05800.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;50;2.2;1/154;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE ON,21.00,56.00;RESIZE ON_ALONE,LANCZOS,0.22261;1024x512;85
05900.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;50;2.2;1/100;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;1024x1024;80
06000.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;389;2.2;1/33;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;AMaZE;1;USM ON,1.51,305.00;DENOISE ON,1.00,39.00;RESIZE CROP_ONLY,NONE,0.00000;512x1024;100
06100.dng;Huawei;P20 Lite (ANE-LX1);2018;Smartphone/Tablet;2.2;50;2.2;1/651;15.9;4608x3456;3.8;27;7.10526;1/3.1";5.82;1.0;100;Sony IMX351 Exmor RS;AMaZE;1;USM ON,2.69,171.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;720x1024;80
06200.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;304;2.4;1/24;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;1024x640;75
06300.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;50;2.4;1/1416;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;AMaZE;1;USM ON,1.74,493.00;DENOISE ON,68.00,21.00;RESIZE ON_WITH_CROP,BILINEAR,0.53287;1024x640;90
06400.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;1490;1.8;1/3800;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;DCB2;1;USM ON,0.59,212.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;1024x1024;95
06500.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;70;2.4;1/30;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;AMaZE;0;USM ON,0.64,300.00;DENOISE ON,3.00,46.00;RESIZE ON_WITH_CROP,LANCZOS,1.05318;1024x640;75
06600.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;57;2.4;1/30;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;DCB2;0;USM ON,1.47,107.00;DENOISE ON,40.00,11.00;RESIZE ON_ALONE,NEAREST,0.47584;1024x512;80
06700.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;50;2.4;1/756;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;Fast;1;USM ON,0.36,253.00;DENOISE ON,41.00,30.00;RESIZE CROP_ONLY,NONE,0.00000;512x512;100
06800.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;163;1.8;1/30;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;720x720;85
06900.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;50;1.8;1/140;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;AMaZE;1;USM ON,0.66,204.00;DENOISE ON,48.00,3.00;RESIZE ON_WITH_CROP,LANCZOS,0.68768;640x512;80
07000.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;118;1.8;1/30;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,BILINEAR,0.21477;640x720;80
07100.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;184;1.8;1/25;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.33739;512x1024;90
07200.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;50;1.8;1/280;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,LANCZOS,0.19306;1024x512;92
07300.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;50;1.8;1/1150;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;DCB2;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BICUBIC,0.80233;1024x720;100
07400.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;50;2.4;1/469;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;720x1024;91
07500.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;50;2.4;1/1447;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;DCB2;1;USM ON,2.37,108.00;DENOISE ON,49.00,36.00;RESIZE ON_ALONE,BILINEAR,0.23792;512x640;93
07600.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;66;1.8;1/60;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;DCB2;1;USM ON,0.78,249.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.71138;720x512;94
07700.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;70;1.8;1/60;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE ON,43.00,32.00;RESIZE ON_WITH_CROP,BICUBIC,0.41477;720x1024;75
07800.dng;LG;G5 (Sensor #2);2016;Smartphone/Tablet;2.4;2999;2.4;1/9;8.3;3840x2160;1.5;13;8.66667;1/3.6";5;1.12;79.7194;Sony IMX268 Exmor RS;AMaZE;1;USM ON,0.96,54.00;DENOISE ON,63.00,3.00;RESIZE ON_ALONE,LANCZOS,0.29740;640x1024;80
07900.dng;LG;G5 (Sensor #1);2016;Smartphone/Tablet;1.8;72;1.8;1/60;15.9;5312x2988;4.4;28;6.36364;1/2.6";6.95;1.12;79.7194;Sony IMX234 Exmor RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,BILINEAR,0.24161;1024x720;80
